ds,y_actual,y_predicted
2023-08-23,181.1199951171875,176.60097
2023-08-24,176.3800048828125,182.87401
2023-08-25,178.61000061035156,176.68616
2023-08-28,180.19000244140625,178.99643
2023-08-29,184.1199951171875,181.64542
2023-08-30,187.64999389648438,185.88391
2023-08-31,187.8699951171875,189.29948
2023-09-01,189.4600067138672,187.4541
2023-09-05,189.6999969482422,187.43086
2023-09-06,182.91000366210938,188.1666
2023-09-07,177.55999755859375,183.4691
2023-09-08,178.17999267578125,178.67813
2023-09-11,179.36000061035156,178.56421
2023-09-12,176.3000030517578,180.29088
2023-09-13,174.2100067138672,178.26924
2023-09-14,175.74000549316406,175.50983
2023-09-15,175.00999450683594,175.60565
2023-09-18,177.97000122070312,175.59914
2023-09-19,179.07000732421875,177.65968
2023-09-20,175.49000549316406,178.55693
