ds,y_actual,y_predicted
2023-08-23,181.1199951171875,176.64046
2023-08-24,176.3800048828125,182.89557
2023-08-25,178.61000061035156,176.72537
2023-08-28,180.19000244140625,179.01955
2023-08-29,184.1199951171875,181.66734
2023-08-30,187.6499938964844,185.90392
2023-08-31,187.8699951171875,189.31721
2023-09-01,189.4600067138672,187.47113
2023-09-05,189.6999969482422,187.44669
2023-09-06,182.91000366210935,188.18279
2023-09-07,177.55999755859375,183.48514
2023-09-08,178.17999267578125,178.69339
2023-09-11,179.36000061035156,178.58018
2023-09-12,176.3000030517578,180.30978
2023-09-13,174.2100067138672,178.28915
2023-09-14,175.74000549316406,175.53178
2023-09-15,175.00999450683594,175.62698
2023-09-18,177.97000122070312,175.6207
2023-09-19,179.07000732421875,177.68019
2023-09-20,175.49000549316406,178.5765
