ds,y_actual,y_predicted,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
2023-06-02,180.9499969482422,180.24124,176.28621,177.82574,178.79474,179.51387,180.24124,180.88966,181.69809,182.73535,184.30498
2023-06-05,179.5800018310547,180.2925,176.86237,178.06598,178.94543,179.62274,180.2925,180.8006,181.58437,182.5785,184.29225
2023-06-06,179.2100067138672,179.09393,176.53822,177.538,178.1995,178.64122,179.09393,179.41635,179.85641,180.44984,181.32144
2023-06-07,177.82000732421875,178.89122,176.60059,177.52556,178.14487,178.5265,178.89122,179.19052,179.54572,180.11493,180.83537
2023-06-08,180.57000732421875,176.8259,174.61667,175.45271,176.05307,176.42908,176.8259,177.23624,177.57442,178.18558,178.9742
2023-06-09,180.9600067138672,180.11182,177.66344,178.58505,179.21686,179.65663,180.11182,180.51392,180.77943,181.37608,182.11815
2023-06-12,183.7899932861328,180.70244,177.9803,179.04889,179.78996,180.23698,180.70244,181.17926,181.40163,182.04721,182.82808
2023-06-13,183.30999755859375,184.09874,180.86227,182.16277,183.10869,183.59502,184.09874,184.62779,184.94315,185.69095,186.68648
2023-06-14,183.9499969482422,183.14075,180.23415,181.43442,182.23984,182.61081,183.14075,183.59218,183.8973,184.5228,185.40498
2023-06-15,186.00999450683594,183.66286,180.56004,181.8313,182.66228,183.10182,183.66286,184.16197,184.48795,185.1436,186.0397
2023-06-16,184.9199981689453,184.80363,180.8918,182.40892,183.35997,184.11089,184.80363,185.33586,185.8613,186.66995,188.15079
2023-06-20,185.00999450683594,184.48698,181.06241,182.35721,183.23306,183.90816,184.48698,184.8219,185.17174,185.70583,186.78714
2023-06-21,183.9600067138672,184.36989,180.83371,182.18698,183.03676,183.71228,184.36989,184.73685,185.16739,185.75366,186.88266
2023-06-22,187.0,182.6855,178.85211,180.38321,181.21,181.85594,182.6855,182.9535,183.47964,184.08147,185.38556
2023-06-23,186.67999267578125,186.48697,183.40941,184.71065,185.41019,185.84033,186.48697,186.78831,187.15038,187.82484,188.84245
2023-06-26,185.27000427246094,186.71683,183.72925,184.95789,185.73788,186.20886,186.71683,187.17572,187.52585,188.18051,189.02634
2023-06-27,188.05999755859375,185.37192,182.68304,183.79196,184.56923,184.90816,185.37192,185.79533,186.04395,186.65059,187.36116
2023-06-28,189.25,187.65067,184.51479,185.79605,186.64934,187.0924,187.65067,188.05696,188.5005,189.17502,190.13919
2023-06-29,189.58999633789062,188.46677,185.52902,186.77315,187.53006,187.95811,188.46677,188.95332,189.29672,189.93489,190.82607
2023-06-30,193.97000122070312,189.21228,185.63101,187.15488,187.99982,188.62495,189.21228,189.61191,190.09175,190.8481,191.94644
2023-07-03,192.4600067138672,192.76332,188.40508,189.9792,191.03397,191.86656,192.76332,193.38269,194.1462,195.12234,197.00479
2023-07-05,191.3300018310547,191.72226,187.87363,189.32677,190.22975,190.89052,191.72226,192.15309,192.64122,193.27611,194.72452
2023-07-06,191.80999755859375,189.7661,186.14864,187.55952,188.34679,188.97609,189.7661,190.17404,190.5805,191.15799,192.51613
2023-07-07,190.67999267578125,190.66035,186.46964,188.25017,189.21078,189.81787,190.66035,191.08463,191.54214,192.2755,193.64952
2023-07-10,188.61000061035156,190.52972,187.81918,188.79497,189.57768,190.02509,190.52972,190.87726,191.30147,192.01883,193.05257
2023-07-11,188.0800018310547,188.14957,185.74669,186.55614,187.2923,187.66489,188.14957,188.4888,188.92032,189.56529,190.5609
2023-07-12,189.77000427246094,187.37991,185.10323,185.85616,186.53206,186.89871,187.37991,187.71907,188.12274,188.7066,189.66687
2023-07-13,190.5399932861328,188.91371,186.45116,187.35411,188.00972,188.42767,188.91371,189.313,189.70918,190.26799,191.1262
2023-07-14,190.69000244140625,189.98842,187.47586,188.40042,189.03922,189.46956,189.98842,190.3642,190.7583,191.3191,192.2339
2023-07-17,193.99000549316406,190.7388,188.35376,189.24779,189.82025,190.28629,190.7388,191.09981,191.4864,192.0909,193.01044
2023-07-18,193.72999572753906,193.37958,190.05933,191.25351,192.0522,192.72351,193.37958,193.89592,194.50043,195.37329,196.83406
2023-07-19,195.10000610351562,193.27434,190.39487,191.52872,192.1654,192.67621,193.27434,193.57777,194.01337,194.58348,195.60599
2023-07-20,193.1300048828125,194.50076,191.43867,192.68028,193.39215,193.93222,194.50076,194.80487,195.29141,195.90855,196.9378
2023-07-21,191.94000244140625,191.20676,188.30688,189.37904,190.08017,190.64462,191.20676,191.64255,192.14622,192.86569,193.99077
2023-07-24,192.75,190.59814,188.13602,189.03209,189.633,190.13474,190.59814,191.01848,191.43321,192.13434,193.08002
2023-07-25,193.6199951171875,192.17528,189.73007,190.6078,191.19043,191.64967,192.17528,192.6241,193.03813,193.72836,194.64423
2023-07-26,194.5,193.3262,190.85686,191.75331,192.34404,192.76102,193.3262,193.75241,194.17734,194.83685,195.67169
2023-07-27,193.22000122070312,194.2115,192.0449,192.82701,193.35506,193.73654,194.2115,194.57011,194.98405,195.55475,196.37372
2023-07-28,195.8300018310547,193.19597,191.20616,191.88612,192.36935,192.74399,193.19597,193.60439,194.00073,194.53697,195.34692
2023-07-31,196.4499969482422,195.92462,193.76836,194.47935,194.99892,195.48366,195.92462,196.32025,196.73296,197.34514,198.30003
2023-08-01,195.61000061035156,195.9237,193.78883,194.57114,195.06725,195.53148,195.9237,196.29819,196.71588,197.27448,198.14748
2023-08-02,192.5800018310547,195.25412,193.16585,193.9568,194.44438,194.88412,195.25412,195.60435,195.96638,196.4962,197.33673
2023-08-03,191.1699981689453,192.74701,190.58466,191.3432,191.89815,192.32716,192.74701,193.15132,193.57246,194.18285,195.19838
2023-08-04,181.99000549316406,191.09456,189.05374,189.7731,190.32053,190.70773,191.09456,191.49742,191.89235,192.48238,193.44211
2023-08-07,178.85000610351562,182.1346,178.6593,179.85211,180.82439,181.46046,182.1346,182.52798,183.09149,183.86589,185.47337
2023-08-08,179.8000030517578,179.01953,176.61565,177.39565,178.23088,178.57394,179.01953,179.4163,179.61374,180.17305,181.48788
2023-08-09,178.19000244140625,180.5223,178.72708,179.18259,179.76724,180.04947,180.5223,180.78674,181.03659,181.46075,182.56055
2023-08-10,177.97000122070312,179.28844,177.0794,177.8441,178.46687,178.86407,179.28844,179.6782,179.99753,180.32373,181.79196
2023-08-11,177.7899932861328,178.73122,177.01991,177.71336,178.2703,178.53133,178.73122,179.05522,179.17868,179.35606,180.61588
2023-08-14,179.4600067138672,178.95018,176.60783,177.6178,178.2737,178.56021,178.95018,179.33154,179.5934,180.02264,181.62338
2023-08-15,177.4499969482422,182.26706,179.3905,180.71608,181.4878,181.83543,182.26706,182.66362,183.20732,184.0408,185.60294
2023-08-16,176.57000732421875,177.32858,174.64833,175.94128,176.79796,176.91196,177.32858,177.70683,178.24603,179.14409,180.71416
2023-08-17,174.0,175.16135,172.94684,174.0601,174.75084,174.90588,175.16135,175.57803,175.9477,176.90942,178.33478
2023-08-18,174.49000549316406,172.37119,169.95808,171.17828,171.86273,172.1346,172.37119,172.89635,173.29756,174.31131,175.7454
2023-08-21,175.83999633789062,175.14688,173.60655,174.36484,174.67786,174.87614,175.14688,175.54607,175.58261,176.07758,177.07898
2023-08-22,177.22999572753906,176.64285,174.59784,175.53235,175.98643,176.1639,176.64285,177.13762,177.34721,177.95326,179.20758
2023-08-23,181.1199951171875,178.19572,175.8909,176.88266,177.45918,177.62596,178.19572,178.70078,178.94498,179.66281,180.93855
2023-08-24,176.3800048828125,184.66814,181.63536,183.04123,183.73059,184.12903,184.66814,185.28668,185.5332,186.44376,187.66466
2023-08-25,178.61000061035156,178.4531,174.80234,176.27757,177.0747,177.70308,178.4531,179.10956,179.58406,180.65167,182.22585
2023-08-28,180.19000244140625,178.57977,175.2401,176.47244,177.16803,177.9094,178.57977,179.22629,179.82103,180.92392,182.786
2023-08-29,184.1199951171875,181.10866,177.5159,178.76991,179.47461,180.27647,181.10866,181.70453,182.42993,183.5553,185.49059
2023-08-30,187.64999389648438,184.99109,181.1152,182.57402,183.40689,184.23022,184.99109,185.70778,186.44241,187.69669,189.7558
2023-08-31,187.8699951171875,186.53874,182.33774,183.8815,184.82906,185.71126,186.53874,187.3137,188.10802,189.2752,191.42651
2023-09-01,189.4600067138672,186.52856,182.44293,183.97075,184.95155,185.69865,186.52856,187.19432,187.97299,189.06128,191.0009
2023-09-05,189.6999969482422,189.26912,184.83058,186.5123,187.72063,188.48041,189.26912,189.91054,190.63635,191.72327,193.53255
2023-09-06,182.91000366210938,190.23904,186.30858,187.7919,188.98204,189.64897,190.23904,190.64081,191.15508,192.11023,193.39618
2023-09-07,177.55999755859375,183.80336,180.35391,181.5805,182.63383,183.25137,183.80336,184.42426,184.96536,185.90608,187.3405
2023-09-08,178.17999267578125,177.55162,174.0898,175.31853,176.3529,176.95575,177.55162,178.26433,178.96465,180.15771,181.88698
2023-09-11,179.36000061035156,178.29543,175.1418,176.16483,176.97742,177.51367,178.29543,178.86807,179.42924,180.31664,181.75752
2023-09-12,176.3000030517578,179.96443,177.168,178.00584,178.73172,179.22308,179.96443,180.3379,180.83965,181.57541,182.87605
2023-09-13,174.2100067138672,176.9836,174.50381,175.2401,175.91017,176.3569,176.9836,177.4331,177.85951,178.71404,180.1629
2023-09-14,175.74000549316406,175.26015,173.15765,173.80687,174.38945,174.76585,175.26015,175.66402,176.18512,176.98322,178.36952
2023-09-15,175.00999450683594,175.63847,173.68713,174.25516,174.81427,175.14052,175.63847,176.01756,176.54237,177.16579,178.37326
2023-09-18,177.97000122070312,175.11404,173.2658,173.83525,174.42116,174.72461,175.11404,175.54625,176.20877,176.92572,178.13274
2023-09-19,179.07000732421875,176.89056,174.4468,175.28058,176.05453,176.498,176.89056,177.52469,178.2828,179.19215,180.52304
2023-09-20,175.49000549316406,178.47574,176.2309,177.09431,177.72562,178.0797,178.47574,179.03676,179.67188,180.48903,181.68484
2023-09-21,173.92999267578125,176.97926,174.47345,175.4338,176.08754,176.46051,176.97926,177.61018,178.33319,179.26259,180.6722
2023-09-22,174.7899932861328,175.2521,172.4411,173.57632,174.26086,174.64578,175.2521,175.95776,176.59671,177.54825,179.10727
2023-09-25,176.0800018310547,176.0461,173.6877,174.65143,175.1802,175.53703,176.0461,176.78085,177.22997,178.15388,179.6751
2023-09-26,171.9600067138672,177.80463,175.22205,176.22787,176.78847,177.17351,177.80463,178.49161,179.03558,179.94746,181.51671
2023-09-27,170.42999267578125,174.24036,171.41978,172.56747,173.17622,173.5838,174.24036,174.92421,175.6108,176.61063,178.03542
2023-09-28,170.69000244140625,170.8995,168.49504,169.53676,169.96877,170.30627,170.8995,171.28606,171.65434,172.45926,173.54747
2023-09-29,171.2100067138672,170.29224,168.32642,169.13089,169.42064,169.75134,170.29224,170.62534,170.8437,171.43404,172.46848
2023-10-02,173.75,171.768,169.66034,170.50984,170.81342,171.17824,171.768,172.22015,172.75989,173.5384,175.03842
2023-10-03,172.39999389648438,174.44595,171.69518,172.70244,173.17776,173.76814,174.44595,174.95197,175.68755,176.49474,178.26553
